p,objID,run,camcol,field,ra,dec
0.9641773,(1237668590263141381,5382,4,75,192.6796267,17.43648153
0.9641759,(1237661150302569281,3650,2,22,188.0831802,49.31439687
0.9639576,(1237665368504795982,4632,3,136,161.8570189,30.16196043
0.9631038,(1237671930669761590,6160,2,11,158.4219544,8.397682533
0.9621819,(1237664290472723579,4381,3,208,202.5709497,14.33266529
0.96179736,(1237667910598854002,5224,2,293,199.0896553,23.61059665
0.96170217,(1237667781762351208,5194,2,484,188.3541402,21.83017202
0.9615486,(1237662264309973285,3909,5,26,199.2659159,10.11395508
0.96149695,(1237662195611141014,3893,5,341,217.4894272,38.5908999
0.96122307,(1237668585431696272,5381,3,81,166.0304814,16.47330468
0.96042955,(1237664094516413641,4335,6,232,144.7420333,33.78024905
0.9602082,(1237667781761172540,5194,2,466,185.4720097,21.67215628
0.9600052,(1237668297128412418,5314,2,26,180.3415169,19.30738667
0.9586617,(1237661362374443944,3699,5,142,210.9654313,45.01411023
0.9579741,(1237668298756981539,5314,5,300,223.4062664,16.45957239
0.95792145,(1237657773934773452,2864,1,226,142.0356335,42.41514949
0.9577343,(1237651252048692412,1345,5,558,238.9161471,52.6941899
0.9571366,(1237667967500354267,5237,4,189,236.7185941,16.28370606
0.9569591,(1237667444586382472,5115,6,163,197.1130834,28.21235314
0.9559131,(1237660615049413444,3525,5,131,174.562651,10.50021421
0.9555063,(1237664869214716890,4516,1,134,145.9965981,31.63869812
0.95417506,(1237667112800879616,5038,4,174,152.397185,28.26923499
0.95391107,(1237661465986466455,3723,6,80,236.7416259,35.58920329
0.95360017,(1237667783914554077,5194,6,556,200.0682274,22.70986157
0.9528241,(1237661069253674178,3631,3,306,162.5674795,13.56757711
0.9514877,(1237670358717433009,5794,2,98,130.1563294,14.46430113
0.95089734,(1237668298749445276,5314,5,185,205.4989344,19.33107632
0.9494914,(1237668288011961284,5312,1,184,160.2716914,17.27877363
0.9494763,(1237667736135861631,5183,5,599,224.8832026,18.29735811
0.94947255,(1237667916493817131,5225,5,131,184.3183145,20.80627469
0.94908625,(1237668292836721631,5313,2,76,170.6348719,18.78227698
0.9489892,(1237659133282353973,3180,5,80,216.8834171,51.19228686
0.9487523,(1237667112798782718,5038,4,142,147.2146035,26.76647753
0.9487245,(1237668293373920311,5313,3,81,171.3921297,19.13221951
0.94741666,(1237662224078603599,3900,2,544,216.3849663,34.72895159
0.9461112,(1237664853108327587,4512,3,130,218.1404383,32.64521764
0.9460551,(1237667212140086254,5061,5,450,185.0926822,30.55943643
0.9457754,(1237668624627925925,5390,4,152,196.5651012,17.44346206
0.9450864,(1237673328689677211,6485,6,134,61.73785203,15.88929108
0.9448449,(1237668297136342229,5314,2,147,199.4917849,18.59288249
0.9443533,(1237651754000712684,1462,4,218,158.0270527,2.349501096
0.94323397,(1237661433779979692,3716,2,168,212.2345768,43.56003445
0.9430198,(1237667111722156834,5038,2,98,140.7831351,23.76531655
0.94110733,(1237654605872563080,2126,4,425,182.8359977,5.363209891
0.93994385,(1237657628984279794,2830,3,297,156.4638025,48.41573353
0.9392658,(1237662635829363793,3996,1,98,218.8035938,11.60307627
0.9391745,(1237667782303875366,5194,3,555,199.6641908,21.50035349
0.93885076,(1237651067353170873,1302,5,376,184.9835204,65.64441058
0.9368463,(1237657628449899694,2830,2,335,164.9691066,50.03818818
0.93624276,(1237659162810057982,3187,4,77,237.820745,43.60873602
0.93352014,(1237661362374444006,3699,5,142,210.9662423,45.01783165
0.93340397,(1237653614260519915,1895,5,250,145.2745967,56.73185079
0.9322916,(1237662263782016322,3909,4,162,219.790719,8.238552253
0.9313846,(1237665367432168230,4632,1,153,165.0805006,29.92997026
0.9300203,(1237658802040144548,3103,4,189,193.6055197,54.83332963
0.9299653,(1237657856075038825,2883,2,211,187.379731,51.93457373
0.92688596,(1237662530067759832,3971,4,128,217.9246584,12.7681496
0.92504716,(1237661382235063539,3704,2,87,144.7582698,34.15619124
0.92454606,(1237667781208114218,5194,1,219,146.5130032,16.8677215
0.9242629,(1237665129071707086,4576,5,309,159.9580636,33.03864489
0.9231312,(1237659133282353373,3180,5,80,216.9811153,51.37158449
0.92168176,(1237665368503026550,4632,3,109,157.4113013,29.42945305
0.92168045,(1237661434319144313,3716,3,203,219.1246245,41.94853172
0.921504,(1237659324949464344,3225,2,144,232.2935779,48.81283679
0.9207524,(1237648720683597933,756,2,272,156.4855224,-0.503900489
0.920656,(1237662305658275233,3919,2,167,229.1072174,32.55770121
0.91966164,(1237662224059466042,3900,2,252,161.7231328,36.9344009
0.91829365,(1237671260667774089,6004,2,208,147.1615167,13.52739857
0.9179071,(1237674602139616437,6782,2,14,207.0097422,2.748477475
0.917792,(1237668272438772904,5308,4,124,210.6689528,18.43725594
0.9167842,(1237657611263214402,2826,2,231,167.8765874,55.77840077
0.9120708,(1237657628984280087,2830,3,297,156.5537525,48.62285951
0.9119434,(1237661416067433337,3712,1,232,220.3712372,50.73848976
0.91034096,(1237665532255864129,4670,4,219,231.0221169,20.20585156
0.90827036,(1237655369289433980,2304,2,218,191.6095308,61.82453904
0.9069249,(1237667781746361149,5194,2,240,149.6054808,18.00043905
0.9044644,(1237662224059466444,3900,2,252,161.8339405,37.00093423
0.9043745,(1237667322712294336,5087,3,96,164.9705912,25.74435711
0.90287274,(1237655369832465223,2304,3,312,218.7981039,57.93695715
0.9005912,(1237667783905050995,5194,6,411,176.38446,23.28962571
0.899734,(1237667550344840365,5140,3,85,164.169485,23.35966635
0.89489263,(1237667550344840377,5140,3,85,164.2380743,23.4016672
0.8926729,(1237662224616391490,3900,3,558,219.0074762,34.40680824
0.89148074,(1237658205583442904,2964,5,294,178.4534627,50.62687344
0.88849807,(1237668585433006426,5381,3,101,169.1212816,16.82638262
0.88638675,(1237671260667773633,6004,2,208,147.1617783,13.39294973
0.8841194,(1237655125016446493,2247,3,268,200.9271713,4.400369496
0.8836782,(1237661387073979117,3705,3,195,231.8389108,46.81997377
0.88290364,(1237668293373920306,5313,3,81,171.3280687,19.1030143
0.88193995,(1237667911142343868,5224,3,394,215.2959725,21.56950632
0.88116646,(1237668297134375771,5314,2,117,194.6981678,19.07504729
0.8774292,(1237661433779979692,3716,2,168,212.2345768,43.56003445
0.8731198,(1237668310015935347,5317,2,66,233.3121816,12.93751527
0.873016,(1237671140409737294,5976,2,224,179.5873906,4.582487097
0.87100416,(1237662306728805841,3919,4,118,221.6088938,36.46076878
0.86960167,(1237659161742738408,3187,2,175,249.973149,32.31586214
0.869163,(1237667781746361209,5194,2,240,149.523121,17.89651941
0.8685706,(1237665099001234331,4569,5,222,144.2245785,28.62046625
0.8654224,(1237665372795176053,4633,3,66,236.833627,21.19735496
0.86509174,(1237668589726794837,5382,3,83,193.8709693,17.05785381
0.864409,(1237665128010023952,4576,3,493,193.1262225,34.50050704
0.86279464,(1237665367969694781,4632,2,163,166.6215781,30.5704334
0.86210436,(1237665329850942348,4623,3,149,181.1882417,32.16834485
0.85918033,(1237668297128411912,5314,2,26,180.3551835,19.25220528
0.85868096,(1237662224616392026,3900,3,558,219.0149579,34.41108409
0.8557406,(1237655124482262012,2247,2,309,207.1396162,3.963674119
0.8528714,(1237665567683904598,4678,6,136,222.392622,21.61352394
0.8520028,(1237658300605268665,2986,6,228,152.5833923,7.23046738
0.8504498,(1237661974940222491,3842,2,82,193.4012982,6.929697251
0.84821314,(1237657220950721403,2735,3,119,167.0127974,55.94007565
0.8451894,(1237662226203280346,3900,6,196,151.2748498,36.031315
0.8426512,(1237662262713976304,3909,2,249,232.6952766,6.029511075
0.84249365,(1237667735591650504,5183,4,487,207.303541,21.2087805
0.83945405,(1237664291548628186,4381,5,241,207.7413157,14.72059651
0.8355876,(1237667736133239153,5183,5,559,218.6750936,19.72480735
0.8329128,(1237662503755908536,3965,3,49,236.8509286,36.11925264
0.8327345,(1237654604796920829,2126,2,396,178.5841562,4.372181502
0.83245003,(1237662195607798317,3893,5,290,208.1695107,40.97302655
0.83210695,(1237668349210920166,5326,3,118,217.8510299,14.48792654
0.8307905,(1237661971733546214,3841,4,304,210.5906045,6.972878227
0.82919234,(1237658916921213685,3130,2,47,192.3967529,54.14918394
0.8289019,(1237661966359725100,3840,2,226,195.2976083,41.40402168
0.8275208,(1237668292836721022,5313,2,76,170.6203791,18.6169251
0.8271891,(1237668590263141375,5382,4,75,192.6520485,17.50927608
0.8270272,(1237665330388206503,4623,4,155,182.2822852,32.599537
0.81976014,(1237655126090318048,2247,5,270,201.3639615,5.308202198
0.8196033,(1237667429024728175,5112,1,279,151.8810652,22.65602031
0.8192214,(1237665532256060904,4670,4,222,231.4246899,20.17868608
0.8176919,(1237664289931854807,4381,2,147,193.1300329,14.25266869
0.8169761,(1237661874024940740,3818,6,333,218.4074932,40.97709607
0.81317663,(1237662528991527758,3971,2,90,211.9878988,12.75907149
0.810555,(1237664672180273582,4470,2,91,198.7770884,35.91955025
0.8080083,(1237667910594855745,5224,2,232,189.1164862,24.21320385
0.80353063,(1237668292837376320,5313,2,86,172.1497429,18.80620113
0.8034152,(1237664291002123062,4381,4,94,184.9084773,15.40387805
0.8028599,(1237662305658274465,3919,2,167,229.0485205,32.46046144
0.8022398,(1237651752937522079,1462,2,379,182.0710522,1.803335873
0.7988738,(1237664289401865596,4381,1,252,209.1466989,12.71886303
0.7970045,(1237661852017689419,3813,5,401,220.0246634,40.23207898
